word,count,pct
general,1097,21.25968992248062
charitable,1014,19.651162790697676
purposes,928,17.984496124031008
restrictions,495,9.593023255813954
communicated,495,9.593023255813954
grantee,495,9.593023255813954
education,233,4.515503875968992
habitat,219,4.244186046511628
community,205,3.9728682170542635
economic,184,3.565891472868217
afterschool,183,3.546511627906977
restoration,180,3.488372093023256
development,159,3.0813953488372094
mobility,156,3.0232558139534884
youth,154,2.9844961240310077
justice,144,2.7906976744186047
quality,126,2.441860465116279
water,121,2.3449612403100777
restore,120,2.3255813953488373
mission,119,2.306201550387597
restoring,119,2.306201550387597
river,118,2.2868217054263567
needs,107,2.0736434108527133
school,105,2.0348837209302326
opportunities,105,2.0348837209302326
capacity,104,2.0155038759689923
network,101,1.9573643410852712
environment,95,1.8410852713178294
prevention,94,1.821705426356589
learning,91,1.7635658914728682
violence,90,1.744186046511628
summer,90,1.744186046511628
reform,88,1.7054263565891472
access,82,1.5891472868217054
statewide,82,1.5891472868217054
building,82,1.5891472868217054
flint,82,1.5891472868217054
conservation,81,1.569767441860465
creek,81,1.569767441860465
energy,79,1.5310077519379846
expansion,77,1.4922480620155039
ensure,73,1.4147286821705427
culture,69,1.3372093023255813
environmental,68,1.317829457364341
meet,67,1.2984496124031009
underserved,67,1.2984496124031009
communities,67,1.2984496124031009
protect,65,1.2596899224806202
coastal,65,1.2596899224806202
operating,64,1.2403100775193798
health,64,1.2403100775193798
availability,63,1.2209302325581395
discretionary,61,1.182170542635659
programs,61,1.182170542635659
linked,61,1.182170542635659
increase,59,1.1434108527131783
great,59,1.1434108527131783
michigan,58,1.124031007751938
improve,58,1.124031007751938
long,58,1.124031007751938
lakes,55,1.065891472868217
2023,55,1.065891472868217
forest,54,1.0465116279069768
watershed,54,1.0465116279069768
strengthen,53,1.0271317829457365
county,52,1.0077519379844961
research,51,0.9883720930232558
democracy,50,0.9689922480620154
salmon,50,0.9689922480620154
journalism,49,0.9496124031007752
services,49,0.9496124031007752
foundations,48,0.9302325581395349
resilience,48,0.9302325581395349
social,47,0.9108527131782945
public,47,0.9108527131782945
society,46,0.8914728682170543
wetland,46,0.8914728682170543
build,45,0.872093023255814
children,44,0.8527131782945736
president,43,0.8333333333333334
promote,43,0.8333333333333334
assistance,42,0.813953488372093
local,42,0.813953488372093
civil,42,0.813953488372093
island,42,0.813953488372093
wetlands,41,0.7945736434108527
plan,40,0.7751937984496124
annual,40,0.7751937984496124
grants,39,0.7558139534883721
national,39,0.7558139534883721
students,39,0.7558139534883721
management,39,0.7558139534883721
center,38,0.7364341085271318
sustainable,38,0.7364341085271318
land,38,0.7364341085271318
residents,37,0.7170542635658915
improving,37,0.7170542635658915
monitoring,37,0.7170542635658915
riparian,37,0.7170542635658915
membership,36,0.6976744186046512
enhance,36,0.6976744186046512
infrastructure,36,0.6976744186046512
training,35,0.6782945736434108
educational,35,0.6782945736434108
trout,35,0.6782945736434108
africa,34,0.6589147286821705
south,34,0.6589147286821705
lake,33,0.6395348837209303
america,32,0.6201550387596899
state,32,0.6201550387596899
nonprofit,32,0.6201550387596899
forests,32,0.6201550387596899
fish,32,0.6201550387596899
marsh,32,0.6201550387596899
programming,31,0.6007751937984496
area,31,0.6007751937984496
soil,31,0.6007751937984496
high,30,0.5813953488372093
expand,30,0.5813953488372093
technical,30,0.5813953488372093
amazon,30,0.5813953488372093
financial,30,0.5813953488372093
develop,30,0.5813953488372093
scholarships,29,0.562015503875969
finance,29,0.562015503875969
issues,29,0.562015503875969
people,29,0.562015503875969
protection,29,0.562015503875969
sound,29,0.562015503875969
field,28,0.5426356589147286
renewable,28,0.5426356589147286
term,28,0.5426356589147286
working,27,0.5232558139534884
united,27,0.5232558139534884
chesapeake,27,0.5232558139534884
prairie,27,0.5232558139534884
capital,26,0.5038759689922481
food,26,0.5038759689922481
region,26,0.5038759689922481
international,26,0.5038759689922481
resources,26,0.5038759689922481
policy,26,0.5038759689922481
advance,25,0.4844961240310077
rights,25,0.4844961240310077
solutions,25,0.4844961240310077
service,25,0.4844961240310077
planning,25,0.4844961240310077
scholarship,25,0.4844961240310077
brook,25,0.4844961240310077
philanthropy,24,0.46511627906976744
families,24,0.46511627906976744
species,24,0.46511627906976744
based,24,0.46511627906976744
passage,24,0.46511627906976744
engagement,23,0.44573643410852715
help,23,0.44573643410852715
income,23,0.44573643410852715
stewardship,23,0.44573643410852715
campaign,22,0.4263565891472868
institutions,22,0.4263565891472868
create,22,0.4263565891472868
arts,22,0.4263565891472868
camp,22,0.4263565891472868
birds,22,0.4263565891472868
coral,22,0.4263565891472868
native,22,0.4263565891472868
designated,22,0.4263565891472868
clean,21,0.4069767441860465
college,21,0.4069767441860465
farmers,21,0.4069767441860465
park,21,0.4069767441860465
stream,21,0.4069767441860465
mitigation,21,0.4069767441860465
mgmt,21,0.4069767441860465
protects,21,0.4069767441860465
climate,20,0.3875968992248062
poor,20,0.3875968992248062
enhancing,20,0.3875968992248062
living,20,0.3875968992248062
bird,20,0.3875968992248062
wildlife,20,0.3875968992248062
disbursement,20,0.3875968992248062
address,19,0.3682170542635659
invasive,19,0.3682170542635659
across,19,0.3682170542635659
civic,19,0.3682170542635659
implement,19,0.3682170542635659
about,19,0.3682170542635659
nature,19,0.3682170542635659
removal,19,0.3682170542635659
shoreline,19,0.3682170542635659
grassland,19,0.3682170542635659
goals,18,0.3488372093023256
impact,18,0.3488372093023256
savings,18,0.3488372093023256
states,18,0.3488372093023256
legal,18,0.3488372093023256
urban,18,0.3488372093023256
projects,17,0.32945736434108525
human,17,0.32945736434108525
